,count,mean,std,min,25%,50%,75%,max
MI_dir_L5_weight,6506674.0,88.30843883333011,67.749257786226,1.0,1.0,100.4075324319008,145.6869248251957,438.00283861930177
MI_dir_L5_mean,6506674.0,183.49025328744844,168.05571091086713,59.99999999999992,60.0,74.00929933207192,326.2590585606652,886.1668505679103
MI_dir_L5_variance,6506674.0,16351.016684290335,23865.493110300125,0.0,0.0,10.165534099249273,38112.293724281335,173888.56614172526
MI_dir_L3_weight,6506674.0,139.8622708959318,107.3773677944397,1.0,1.0,160.79207924931103,232.03674084357618,558.6770072255539
MI_dir_L3_mean,6506674.0,183.58643025521584,162.63901230626473,59.99999999999992,60.0,74.0202071731066,346.6876691367387,846.3203058288872
MI_dir_L3_variance,6506674.0,18166.201714557556,24973.51363520732,0.0,0.0,21.6406651668458,45492.536899652754,173184.84331571372
MI_dir_L1_weight,6506674.0,397.907752282035,306.6207481799394,1.0,1.0,464.16488510636066,657.9270342627225,1210.9484665866396
MI_dir_L1_mean,6506674.0,183.79854211314756,158.10156023144938,59.99999999999992,60.0,74.0384623834193,364.0285377899093,709.7252725736348
MI_dir_L1_variance,6506674.0,19672.690818007144,25975.90745892816,0.0,0.0,37.431667806834405,50569.20263858998,173077.0434465128
MI_dir_L0.1_weight,6506674.0,3690.0058986471963,2836.58292217325,1.0,1.0,4013.964707815305,6380.175137981406,8946.997228564956
MI_dir_L0.1_mean,6506674.0,183.90389166431584,156.9764434475418,59.99999999999998,60.0,74.09649837846987,379.4747180734825,566.0000000000001
MI_dir_L0.1_variance,6506674.0,20048.900846262135,26250.522424609437,0.0,0.0,44.28558267066364,49955.70917062599,137649.2939092785
MI_dir_L0.01_weight,6506674.0,21476.765525645995,19245.528162176153,1.0,1.0,19234.557015620063,37278.66737244021,62781.67669653484
MI_dir_L0.01_mean,6506674.0,183.90573072110695,156.9457599746617,59.99999999999986,60.0,74.10893308776433,381.6744717987061,566.0000000000001
MI_dir_L0.01_variance,6506674.0,20060.76012550827,26282.27211215834,0.0,0.0,48.83364360804626,48986.56627600932,120738.38285465392
H_L5_weight,6506674.0,88.30843883333011,67.749257786226,1.0,1.0,100.4075324319008,145.6869248251957,438.00283861930177
H_L5_mean,6506674.0,183.49025328744844,168.05571091086713,59.99999999999992,60.0,74.00929933207192,326.2590585606652,886.1668505679103
